1	0	0	0	0	0	0	0	0	0	0	
2	1	1	1	1	1	1	1	1	1	1	
3	1.41421	1.41421	1.41421	1.41421	1.41421	1.41421	2	1.41421	2	1.41421	
4	1	2.23607	2.23607	2.23607	2.23607	2.23607	1	1	1	1.73205	
5	1.41421	2.44949	2.44949	2.44949	1.41421	1.41421	0	1.41421	1.41421	1.41421	
6	1	3	2.23607	3	1	2.23607	1	1.73205	2.23607	1.73205	
7	1.41421	3.74166	2	2.82843	1.41421	3.16228	0	1.41421	2	1.41421	
8	1.73205	4.3589	2.23607	3.60555	1.73205	3.31662	1	2.23607	1	1	
9	1.41421	5.09902	2	2.82843	2.44949	3.16228	1.41421	2.44949	1.41421	2	
10	2.23607	5.74456	2.23607	3	3.31662	3.60555	2.23607	2.23607	1	2.23607	
11	2.44949	5.09902	3.16228	2.44949	2.44949	3.74166	1.41421	3.16228	1.41421	2.44949	
12	2.23607	4.58258	2.23607	3	1.73205	3.31662	1	3.31662	1.73205	2.23607	
13	1.41421	5.09902	1.41421	3.74166	2.44949	3.16228	1.41421	3.74166	2.44949	1.41421	
14	1.73205	5.38516	1.73205	4.12311	2.23607	3.31662	2.23607	3.60555	2.23607	1	
15	1.41421	6.16441	1.41421	3.74166	2.44949	3.74166	2.44949	4.24264	2.44949	1.41421	
16	1	7	2.23607	4.3589	3	3.31662	2.23607	4.3589	2.23607	2.23607	
17	1.41421	6.16441	2.44949	3.74166	3.4641	2.44949	2.44949	4.69042	2.44949	2.44949	
18	1	7	2.23607	4.3589	3	3	3	5.38516	3.31662	3	
19	1.41421	7.87401	1.41421	3.74166	2.44949	2.44949	2.82843	6	3.16228	3.74166	
20	1.73205	8.18535	1.73205	3.31662	1.73205	3	3.60555	6.7082	2.23607	4.3589	
21	1.41421	8.60233	1.41421	3.16228	2.44949	2.82843	3.74166	6	3.16228	5.09902	
22	1.73205	8.30662	1.73205	3.31662	3.31662	2.23607	4.58258	6.7082	3	4.58258	
23	2.44949	7.87401	2.44949	3.74166	3.74166	2	4.47214	6	3.16228	5.47723	
24	3	7	1.73205	3.60555	3.31662	1	5.38516	5.38516	3	5.38516	
25	3.74166	6.16441	1.41421	4.47214	3.74166	1.41421	5.83095	5.09902	3.16228	5.09902	
26	3.60555	7	2.23607	3.60555	3	1.73205	5.38516	5.74456	3.60555	5.38516	
27	3.74166	7.34847	2	4.47214	3.4641	1.41421	5.47723	6.48074	4.24264	5.47723	
28	3.60555	7	2.23607	4.58258	3	1	5.91608	5.91608	4.3589	5.38516	
29	4.47214	7.48331	3.16228	3.74166	2.44949	0	5.47723	6.48074	5.09902	5.09902	
30	5.38516	7.81025	3.31662	3.60555	1.73205	1	5.19615	6.7082	5.74456	6.08276	
31	5.83095	8.3666	3.16228	4.47214	2.44949	1.41421	4.24264	7.07107	5.09902	6.32456	
32	6.7082	8.06226	3	3.60555	3	1.73205	4.58258	6.40312	5.74456	5.38516	
33	7.61577	8.7178	3.16228	4.24264	3.4641	1.41421	4.24264	5.83095	6	4.47214	
34	8.06226	8.06226	3.60555	5	3	1	3.31662	5.38516	5.74456	3.60555	
35	7.61577	7.87401	4.47214	4.47214	3.74166	1.41421	2.44949	6	6.48074	4.47214	
36	6.7082	7.28011	4.12311	4.12311	3	1.73205	3	5.38516	5.74456	4.58258	
37	6.78233	6.78233	3.16228	4.24264	2.82843	1.41421	2.82843	5.09902	6	3.74166	
38	6.40312	5.91608	3.60555	4.58258	2.23607	1.73205	3	5.91608	5.74456	3	
39	5.47723	6.78233	3.16228	4.47214	2.44949	1.41421	2.44949	5.09902	5.09902	3.74166	
40	5.91608	6.7082	3.31662	4.58258	2.23607	2.23607	3	5.74456	5.74456	4.3589	
41	6.78233	6.78233	2.44949	4.89898	3.16228	3.16228	2.82843	6.48074	5.09902	3.74166	
42	7.68115	5.91608	3	4.12311	4.12311	3.60555	3	7.28011	5.74456	3.60555	
43	6.78233	6.48074	2.44949	3.74166	4.47214	4.47214	3.4641	8.12404	6.48074	3.74166	
44	7.68115	5.74456	1.73205	3.31662	4.58258	4.12311	4.12311	7.68115	5.74456	3	
45	7.34847	6	1.41421	4.24264	5.09902	4.47214	3.4641	7.34847	6.48074	2.44949	
46	8.30662	5.38516	2.23607	4.12311	4.58258	5.38516	4.12311	6.40312	5.91608	1.73205	
47	8.48528	5.83095	2.44949	4.47214	5.09902	5.47723	4.69042	6.63325	6.78233	2.44949	
48	8.30662	5.19615	1.73205	5.38516	5	5.74456	4.12311	6.40312	6.7082	2.23607	
49	9.27362	5.83095	1.41421	4.47214	5.09902	6.63325	3.74166	6.16441	5.83095	3.16228	
50	9.53939	5.38516	1.73205	5	4.3589	7	3	6.40312	5	3.60555	
51	8.60233	4.89898	2.44949	5.65685	4.24264	6.63325	2.44949	6.63325	5.65685	4.47214	
52	9	5.38516	3	5	5	7.54983	3	7	5	4.12311	
53	8.60233	6	3.4641	5.09902	5.83095	7.34847	3.74166	6.63325	5.65685	4.47214	
54	8.30662	5.38516	3	5.38516	5.91608	6.40312	3.60555	6.40312	5.74456	3.60555	
55	8.12404	6.16441	3.74166	6	6.16441	6.32456	2.82843	6.78233	6.48074	3.74166	
56	8.30662	5.38516	3.31662	6.7082	5.38516	6.7082	3.60555	7.28011	5.74456	4.12311	
57	8.12404	6.16441	4.24264	6	6.16441	6.78233	3.74166	6.48074	6.48074	3.4641	
58	8.30662	5.74456	4.58258	6.7082	5.91608	5.91608	3.31662	6.7082	7.14143	3	
59	8.60233	5.47723	3.74166	6.16441	6.48074	6.16441	4.24264	6	6.48074	2.82843	
60	7.68115	5.91608	4.12311	5.74456	6.40312	7	5.19615	6.7082	5.91608	3	
61	6.78233	6.16441	4.89898	6.16441	5.83095	6.16441	5.09902	6.16441	6.16441	3.4641	
62	5.91608	6.7082	4.58258	6.7082	5.91608	6.7082	4.12311	5.74456	5.74456	4.12311	
63	6.16441	6.16441	4.24264	6.48074	5.83095	6.16441	4	6.63325	4.89898	4.69042	
64	6.7082	5.38516	4.58258	5.74456	6.7082	6.7082	4.12311	6.40312	5.38516	5.19615	
65	6	5.83095	4.24264	6.48074	6.78233	7.34847	5.09902	6.63325	5.09902	5.83095	
